Date,Actual,Predicted
2022-06-07,146.1959686279297,146.0117344386456
2022-06-08,145.45863342285156,145.41275206479645
2022-06-09,140.2285919189453,140.30036055961796
2022-06-10,134.81175231933594,134.76294015852932
2022-06-11,134.81175231933594,134.75067344934155
2022-06-12,134.81175231933594,134.71080294523244
2022-06-13,129.65045166015625,129.61722581970685
2022-06-14,130.5155792236328,130.52858016497748
2022-06-15,133.1404266357422,133.12182759405187
2022-06-16,127.86124420166016,127.89944262355698
2022-06-17,129.33590698242188,129.34144681791304
2022-06-18,129.33590698242188,129.31248169941477
2022-06-19,129.33590698242188,129.35557055002369
2022-06-20,129.33590698242188,129.2048483548649
2022-06-21,133.57302856445312,133.48300745480492
2022-06-22,133.0618133544922,132.89416842130345
2022-06-23,135.93246459960938,135.85124437330774
2022-06-24,139.26516723632812,139.17882229316797
2022-06-25,139.26516723632812,139.29389852640475
2022-06-26,139.26516723632812,139.1896314983087
2022-06-27,139.26516723632812,139.2347401387899
2022-06-28,135.11651611328125,135.15127990434166
2022-06-29,136.87623596191406,136.77250530699962
2022-06-30,134.4086456298828,134.3266211551279
2022-07-01,136.58126831054688,136.49723680154716
2022-07-02,136.58126831054688,136.40290595586316
2022-07-03,136.58126831054688,136.5280589429683
2022-07-04,136.58126831054688,136.4482513482708
2022-07-05,139.16685485839844,139.0836628157415
2022-07-06,140.5038299560547,140.3667102869979
2022-07-07,143.87586975097656,143.74403570539766
2022-07-08,144.55418395996094,144.42639914833376
2022-07-09,144.55418395996094,144.51788157240298
2022-07-10,144.55418395996094,144.46171217785923
2022-07-11,142.42086791992188,142.3848428958056
2022-07-12,143.39413452148438,143.28914647276747
2022-07-13,143.0303955078125,142.88920588256042
2022-07-14,145.96005249023438,145.86699022962898
2022-07-15,147.6312713623047,147.49562152848534
2022-07-16,147.6312713623047,147.59868260145618
2022-07-17,147.6312713623047,147.5853579070972
2022-07-18,144.58367919921875,144.65381417065805
2022-07-19,148.44723510742188,148.3337381450167
2022-07-20,150.45277404785156,150.315122415745
2022-07-21,152.7237091064453,152.64237165698592
2022-07-22,151.48501586914062,151.4145909635538
2022-07-23,151.48501586914062,151.47969774332
